"site_ID","year_start","year_end","NEE","NEEtrend_lm","NEEp","GPP","GPPtrend_lm","GPPp","ER","ERtrend_lm","ERp","source","Lat","TA_t","TA_p","TA_gs_t","TA_gs_p","TA_ngs_t","TA_ngs_p","P_t","P_p","P_gs_t","P_gs_p","P_ngs_t","P_ngs_p","VPD_t","VPD_p","VPD_gs_t","VPD_gs_p","VPD_ngs_t","VPD_ngs_p","SW_t","SW_p","SW_gs_t","SW_gs_p","SW_ngs_t","SW_ngs_p","LE_t","LE_p","LE_gs_t","LE_gs_p","LE_ngs_t","LE_ngs_p","CO2_t","CO2_p","Lgs_t","Lgs_p","Lgs_piece_t","Lgs_piece_p","MAT","MAP","Height","Age","Nmean","Ntrend_lm","Np","IGBP"
"ES-LJu",2005,2020,-3.41902375,-0.0780612725746518,0.156375470697525,260.9754375,0.114919032929471,0.0282784553004152,312.7773125,0.0944280414076131,0.080622597002486,"EuropFlux_FLUXNET2020",36.926594,0.11260351319207,0.0323053039653875,-0.0231642971277266,0.684304308229883,0.147683396531638,0.0023784903197792,-0.0379067057146078,0.503587449900647,0.0101094952116973,0.859502416021074,-0.0497633051758964,0.376974623778074,0.102987251500755,0.0538327331632667,-0.00919336646336017,0.872132144804747,0.166114170047587,0.000264484952520356,-0.125713317763752,0.0143088786304684,-0.156960436432648,0.000877262739866199,-0.0264942795084391,0.641580080611016,-0.129784637849388,0.0191180284848281,-0.133997409494902,0.0146800444649618,-0.0950485681384089,0.104012043163806,0.19018159155053,1.40676102538447e-06,-0.0119677401550591,0.833985474531274,0.000879837393925927,0.987716096957314,16,400,0.7187184691,NA,12.9222498280661,-0.159504831334994,0.0234506824995364,"OSH"
"FI-Hyy",1997,2009,-201.687569539586,-0.0163716496715632,0.8360648463472,1009.80992630562,0.0868461463252701,0.258348309608024,866.386728156017,-0.0166959798605383,0.83285789681586,"EuropFlux_FLUXNET2023",61.84741,0.101380088428656,0.181835658643943,-0.00965171284767342,0.90296933735205,0.0881491948485736,0.250815294667163,-0.0219156196616641,0.781604653246245,-0.00114731443366884,0.988441697367063,-0.0285918374167427,0.717238699562677,0.00501702849007413,0.949484749001655,0.0202630955090592,0.797753380919316,-0.0661348921641591,0.395580944264477,-0.127497531847148,0.0843485087043706,-0.103516678545132,0.171970507777382,-0.11081548259658,0.140886983312746,0.166215930716613,0.0167676940963246,0.101294274453175,0.182239213590924,0.207813415334455,0.000803579659693335,0.242104355003358,1.38805833186594e-06,0.118646787348022,0.111914998035486,0.118646787348022,0.111914998035486,3.8,709,20.715941,44,9.06732269695827,-0.108880077888303,0.148738983376809,"ENF"
"FI-Hyy",2011,2023,-258.841575790519,0.055980918608319,0.488971669289537,1197.83661843734,-0.128580806901812,0.0911515689370928,948.994883898427,-0.162568355104034,0.0240171763404725,"EuropFlux_FLUXNET2023",61.84741,0.00888581070556881,0.913609662800141,0.0537967952587027,0.506502441959032,-0.0253861011536513,0.75607848196787,0.112325796790469,0.147688905605599,0.0550647197734429,0.496291831277757,0.131754304664681,0.0821473052041568,0.0141186207407493,0.863079030370832,0.0797198048319474,0.317877791088499,-0.103771724232267,0.184843528587119,0.188398982620544,0.00538063519950349,0.184594234651379,0.00697533673870357,0.175429163300247,0.0122539779403451,-0.160402110651093,0.0266024607841408,-0.0389900809788503,0.632098771672533,-0.148698077593546,0.0441540370055358,0.243940005388238,3.73305712392047e-07,0.0122480116513826,0.881097786873726,0.0122480116513826,0.881097786873726,3.8,709,20.715941,58,9.06732269695827,-0.108880077888303,0.148738983376809,"ENF"
"FI-Let",2010,2020,70.78958,0.0686580576341359,0.500684559428136,1158.28627272727,-0.187288571489142,0.041370944510989,1172.08272727273,-0.152029273359907,0.113749075097508,"EuropFlux_FLUXNET2020",60.64183,0.161911417450082,0.0885026488454695,-0.11715957658271,0.237593769619797,0.199143664048105,0.026958568677354,0.02065872540982,0.841348153308121,-0.172138908924608,0.0665952510489653,0.117676157057793,0.235350624391588,0.0326951313980921,0.750967845964065,0.010676575453965,0.917678138098323,0.0734294979910831,0.470518414129745,0.0682909562453691,0.503039677062509,0.0235016345521049,0.819805624694586,0.123347542736571,0.211536905205179,0.0749600932614376,0.473909642409119,0.0375050730826329,0.723564982300349,0.127509585373592,0.206916335773614,0.263029704617454,0.000460125904609252,-0.131918317818079,0.178378336411186,-0.146741829456535,0.12898438407812,4.6,627,21.7021881,45,13.1339808191572,-0.0952128463293863,0.212290373881216,"ENF"
"FI-Sii",2016,2023,-23.3255211463632,-0.285906060111347,0.0530658984399293,379.370199651433,0.0581757080261972,0.73640607629985,336.912958525154,-0.146420419056675,0.382964757132599,"EuropFlux_FLUXNET2023",61.83265,-0.0213997768739787,0.921603382338308,0.14071887285018,0.40307373113136,-0.147486036295975,0.379256721188389,0.348844141184132,0.00334838426689871,0.2198930497203,0.168407077858352,0.24887551188176,0.108586475843604,-0.0976095386133949,0.649936427360803,0.0170020976987567,0.922003124160255,-0.262317254980407,0.0857615294970152,0.0602709101299135,0.780834255980196,0.158529192876815,0.341789389056782,-0.174377204534606,0.291200500137227,0.195855110027167,0.22896803481011,0.221238258907339,0.165309219578644,0.0529368156902697,0.75958367756529,0.365678598777748,0.0345561788649156,-0.0664777222699853,0.70003579167224,-0.0664777222699853,0.70003579167224,3.5,701,12.27798511,NA,9.13875126838684,-0.108880077888303,0.148738983376809,"WET"
"FR-Bil",2015,2023,-372.903575591155,-0.0108380029260216,0.939578545785541,1791.5720475382,0.13046219987682,0.345192221651984,1406.76636793872,0.229138188425989,0.070423172660316,"EuropFlux_FLUXNET2023",44.493653,0.0635806819559741,0.654120206015262,0.165489495752967,0.22051687369109,-0.0672064841337014,0.635475148967028,0.110303282396229,0.429506996818057,0.0343651271115867,0.80968451597405,0.107435221265639,0.442185478367595,0.0424606845302668,0.765762566965353,0.125911471521587,0.363466298675615,-0.135137297340249,0.326898343350971,0.0338863365572974,0.81229776871808,0.0681134396259745,0.630838400772351,-0.0274295720470087,0.847686662173738,-0.0163638839859992,0.92174333608252,-0.053558291377432,0.746510797079717,0.0608715457595537,0.712859504262374,0.234322393580159,0.0624491188449758,-0.119606770648209,0.389527036180983,-0.0799690115319062,0.571297965029769,12.8,930,7.770716698,NA,12.3850726740701,-0.0900971037351826,0.239801790363082,"ENF"
"FR-FBn",2008,2023,-563.135937344155,0.134588770751165,0.0236985489927927,1630.20967376258,0.0256084805574367,0.698209132692075,1157.52012338581,0.082298554719635,0.198001540585389,"EuropFlux_FLUXNET2023",43.24079,0.163555736417377,0.00318799017298386,0.15395011171082,0.00689019827637056,0.125409710370058,0.038185651184635,-0.0782546957538983,0.25593074331551,-0.083397619803781,0.191622551820388,-0.106675940572531,0.0864619026484356,0.0607117125187251,0.350432823027501,0.0613519396711896,0.345175530135152,0.0438517506002607,0.503968721635766,0.0555640989365013,0.394278665570808,0.0684208424106215,0.290082372744464,0.00966342099805082,0.883998504339837,-0.0896968063587706,0.157605343960284,-0.090400658602862,0.154070128363306,-0.045101609769898,0.491642562997877,0.235465908994532,1.23331622764649e-09,0.0723899971861689,0.350729194136005,0.0422571462539381,0.591089801508693,13.6,700,15.72426796,NA,13.6075850895473,-0.170486063509348,0.0133325954395913,"MF"
"FR-Fon",2005,2023,-616.774303369122,0.0598384257983812,0.158630851617494,1717.44732198037,0.0463658539975232,0.280623172890888,1242.96378892273,0.0938820152492393,0.0200592209576789,"EuropFlux_FLUXNET2023",48.476358,0.123821919565704,0.00281832878262255,0.121874036213166,0.00118857055932102,0.0701335694563888,0.0944871536810865,-0.0190337896031437,0.662516616472764,-0.0444408960989026,0.301787920297374,0.00899446752702,0.836964701871893,0.120529439263462,0.00396307371630701,0.104185950274351,0.00833461642377497,0.0770858543087959,0.0635181391239143,0.130068352794833,0.00138664183517599,0.109272458509604,0.00508082636541315,0.0627886021148658,0.137826979489284,-0.0174890633221485,0.703073810078711,-0.0489477816124639,0.278070070163103,0.0170875234976681,0.709607742693338,0.164359363656683,1.73087661071804e-06,0.0326980361099553,0.462629278893988,0.0326980361099553,0.462629278893988,10.2,720,19.12777793,166,18.1182018688747,-0.182174063125134,0.00660660101313656,"DBF"
"FR-Hes",2014,2023,-411.400269847669,0.169396791087867,0.213546820412805,1765.20705230745,0.0266671472064359,0.854809956645475,1333.09872817761,0.0105351074226642,0.942445862269204,"EuropFlux_FLUXNET2023",48.6741,0.217956103204951,0.0904206138113841,0.252143073225988,0.0377210950543032,0.0985348466389649,0.490259035560791,0.096413227646584,0.500059200437302,-0.211780357177544,0.102883040206411,0.292681687417986,0.00704897180747703,0.275156612956944,0.0165876399104422,0.276641885335667,0.0155760161703653,0.229554374349117,0.0694960692940509,0.0887104572613862,0.53625411428283,0.254694443896273,0.0348447584267133,-0.143503859158269,0.302270252803839,0.169550722822342,0.21306605704174,0.156270717231068,0.256596527401443,0.184922758753764,0.167923597577685,0.296089175739987,0.121870959285817,0.0333869386667985,0.831257050654777,0.0159587360994505,0.919030507679146,9.2,820,20.34569753,54.5,14.8881357056754,-0.172198334422634,0.0121157329320232,"DBF"
"GF-Guy",2004,2019,-217.97522125,-0.120451791410215,0.0202082322723312,3551.9775,-0.0288429944709831,0.612058257858132,3429.033125,0.029152753662039,0.608205000434881,"EuropFlux_FLUXNET2020",5.2787,0.000676512650138109,0.99055469218282,0.000676512650138109,0.99055469218282,0.000676512650138109,0.99055469218282,0.00939540763870609,0.8693442164657,0.00939540763870609,0.8693442164657,0.00939540763870609,0.8693442164657,-0.144883559904466,0.00310853509458173,-0.144883559904466,0.00310853509458173,-0.144883559904466,0.00310853509458173,-0.0837710989601601,0.125959604306356,-0.0837710989601601,0.125959604306356,-0.0837710989601601,0.125959604306356,-0.13484405541721,0.00733591166907994,-0.13484405541721,0.00733591166907994,-0.13484405541721,0.00733591166907994,0.116713225093806,0.0254312842497686,0,0,0,0,25.7,3041,35.39925693,303.5,15.417772088732,0.113787218354473,0.129369585176169,"EBF"
"IL-Yat",2001,2008,-174.040375,0.1313512861421,0.437070957457161,732.828625,-0.196977501545254,0.225923396951553,593.90375,-0.290188738423002,0.0481055380752168,"EuropFlux_FLUXNET2020",31.34504459,-0.187220421203016,0.253087115292906,-0.12212846743889,0.471655498877587,-0.169261187059925,0.307110216440765,-0.201113561209859,0.214885278065432,-0.0916441514461005,0.59302365162466,-0.161555843388677,0.331832957819367,0.0594897420113313,0.73061906688296,0.0290978153410494,0.866811663451601,0.0694334300078593,0.687202787264138,-0.0839731158538753,0.6250689815857,-0.0714812076052966,0.678349724728007,-0.0507691904435621,0.769220467820094,0.0630590454096667,0.714956453435905,0.0851195930309956,0.62024543117073,0.0105156284570758,0.951725250197885,0.277515698843457,0.0636411930109279,-0.00106848000980476,0.995092714613933,-0.00106848000980476,0.995092714613933,18.2,285,0.1574581745,40.5,21.6331528936114,0.0823525429765179,0.285341278368117,"ENF"
"IL-Yat",2010,2020,-75.0892836363636,0.0112172496387125,0.91352239571002,658.851363636364,-0.035124158071448,0.733029014840381,600.961272727273,-0.0215521183977605,0.834567154843085,"EuropFlux_FLUXNET2020",31.34504459,-0.0738623565291568,0.467823407469995,-0.136257537055205,0.162883974178437,0.00891268238657815,0.931248187192576,0.156147031744652,0.102726073964707,0.161588927548274,0.0892618446049411,0.0905780099824982,0.369391773583647,-0.155130067013396,0.105380774473776,-0.185874590399,0.043386146007394,-0.0955776056004489,0.34220209735901,-0.071129629143229,0.484954614194903,-0.0975974022527967,0.331525333116694,-0.00607631601934374,0.953102145286968,0.116936279889607,0.238567212168949,0.158745691135656,0.0961417330505808,0.0293246251357085,0.776042460088648,0.297164729345875,2.97330752878282e-08,0.0807958540237542,0.425634322275053,0.0807958540237542,0.425634322275053,18.2,285,0.1574581745,51,21.6331528936114,0.0823525429765179,0.285341278368117,"ENF"
"IT-Cp2",2012,2023,-726.876314350533,0.0477718388164773,0.598881536411209,2067.81190874036,0.0297232930014984,0.753835349221878,1358.62814599078,0.0245592768335628,0.795797134562623,"EuropFlux_FLUXNET2023",41.70426559,0.13815126538636,0.204839957463156,0.181065105179989,0.0187510920126967,0.113222752944224,0.191326210879141,0.119060366573013,0.18046185409482,-0.0319003368545386,0.726760526706704,0.0513339359314019,0.571354734721118,0.120860362247804,0.278357875018719,0.109665765987128,0.207378422883653,0.1139866581398,0.187976962381562,0.064975994524805,0.558723944758976,0.0328080327507159,0.719246062405419,-0.0178035018437702,0.845808220651615,0.147311659243116,0.0749302995006631,0.144304159094594,0.0825732204273519,0.137441404437236,0.101843830409458,0.196299075068301,0.0403476441190062,0.0569465655138348,0.537062098556092,-0.0176860028328365,0.849963090579369,15.2,805,16.35533378,67.5,17.4224768366132,-0.235487470994635,1.022497287025e-05,"EBF"
"IT-Lav",2003,2020,-1971.62111111111,-0.162130867542084,3.49280560326622e-06,2397.96222222222,0.0748958650514387,0.100178610913222,853.953555555556,-0.134342578140896,0.000807894015051411,"EuropFlux_FLUXNET2020",45.9562,0.128087567152637,0.00175311312733424,0.0993391939824998,0.0235721612872521,0.110592527099411,0.00989190480760843,0.0799347843693856,0.108105309175175,-0.0148182172979841,0.755025660195289,0.000883147770752393,0.98518669786534,-0.0443004076723317,0.344737083931677,-0.0591496666605984,0.201780431059412,0.011597555820921,0.80718873176774,-0.0784220408180945,0.0837784037954229,-0.0664258502310366,0.148760303844937,-0.0689179457476423,0.133053765403321,-0.0309816582444932,0.51189943117252,0.00222639193081915,0.96266643136581,-0.0653008016486336,0.156252753692671,0.169610119092132,2.3747878538758e-07,0.0967247555663073,0.0282416025252424,0.0967247555663073,0.0282416025252424,7.8,1291,25.1797375,98.5,24.2761791774205,-0.223624632055891,0.000106606197717048,"ENF"
"IT-MBo",2003,2012,-55.8311431788487,-0.0437255387233914,0.715428663560635,1246.99570873185,0.0623404212086479,0.601517291464866,1216.10245148096,0.147167891961934,0.196858140439353,"EuropFlux_FLUXNET2023",46.014678,0.056087303072458,0.639062277148551,-0.017529526321942,0.884228676265583,0.087481207817114,0.459576250297168,0.177319166014724,0.109580262291207,0.196205182673302,0.070162817263708,0.100046327913412,0.394916053684969,-0.137357142581352,0.231964486882336,-0.165810228167691,0.139260863406154,-0.051027124889771,0.669999443681409,-0.0380659371478846,0.751211949174107,-0.0526681907372015,0.659914582097584,-0.0205184089356002,0.864630109634844,0.0958617849508862,0.415941252112933,0.156063515934357,0.167889038822816,-0.0394028147954245,0.742718178566476,0.301132822044525,0.000238543293149069,0.149223210544467,0.189922999439147,0.107436521852101,0.359077543940221,5.1,1214,13.78326926,NA,16.5772987093244,-0.230457901269772,3.15834305824465e-05,"GRA"
"IT-MBo",2014,2023,8.5947323039181,0.0871167492347216,0.612948176426761,1489.83865862254,0.0190199976999099,0.913243360237797,1514.46122809694,-0.0732493258964779,0.671905508435429,"EuropFlux_FLUXNET2023",46.014678,0.12729773114415,0.452079630762875,0.190033039261637,0.240895268643117,0.0340119937397393,0.845306036685608,0.327158194176756,0.00815242099733454,-0.00221686675894426,0.989875050426997,0.123243080155649,0.46753444242319,-0.130472497937348,0.440114452080074,-0.173958740389275,0.289551844736403,-0.078783451738715,0.648199136715208,0.307847308368853,0.021363961323071,0.313887932137251,0.0168180985842874,0.266624806617109,0.0695897628651645,-0.182705882297083,0.262569725591565,-0.196192035127781,0.223348058165056,-0.123448967022582,0.466745064019046,0.307655445743291,0.0241855382595841,-0.0954615460312091,0.578233000424771,-0.0226047357334905,0.896947857692967,5.1,1214,13.78326926,NA,16.5772987093244,-0.230457901269772,3.15834305824465e-05,"GRA"
"IT-Ren",2001,2011,-698.973367494607,-0.185275936722675,0.0442594328324596,1414.78459750699,0.254327723258047,0.00110242660544964,834.93095826099,0.241555457715784,0.00303622055038896,"EuropFlux_FLUXNET2023",46.58686,-0.13042970638517,0.183893544644369,-0.0683977796720743,0.502353861896084,-0.136198378803648,0.163089404585269,0.0226501276668407,0.826246959488845,0.0436148357107325,0.671308699096247,-0.00560884575478124,0.956707111587664,-0.0469172945383914,0.647764181424239,-0.0284546900700741,0.782546523395197,-0.0776508340349907,0.444539968071477,0.206088386969594,0.0204026208884534,0.19925624519742,0.0268417940807912,0.190647088841237,0.0368462227966,0.0570745268778049,0.577217296472936,0.0546039688422626,0.594100575279375,0.0564990217770614,0.581133533189154,0.267871333066323,0.000257358372141657,-0.0262775263542156,0.798878144952034,0.0392411686589185,0.702900067966907,4.7,809.3,24.10825107,189,13.9701904569353,-0.1907296569337,0.00362893236877393,"ENF"
"IT-Ren",2013,2022,-627.268053570142,0.0288647504741791,0.828473359642827,1607.63511722821,-0.0667224339670943,0.613653457966961,1093.75494957377,0.149111710673103,0.238857462186074,"EuropFlux_FLUXNET2023",46.58686,0.108254514342591,0.404829629150904,0.169877488283966,0.171962666883278,0.0355293124637634,0.789518487930905,-0.103945161209526,0.424794030629314,-0.0813788880213815,0.53604272933089,-0.0797225329474202,0.544618791510412,0.186045212383197,0.128360937816349,0.167206874100846,0.17988032840278,0.174169756379697,0.159662856296074,0.228891922336283,0.0475545973597732,0.265657991345872,0.0132459372608217,0.0462717407069363,0.727599902047165,0.284691670274861,0.00504951171739153,0.293294389008701,0.0028934625970576,0.104683879414529,0.421340878071866,0.251010058079053,0.0236053700180006,-0.162183365652719,0.195323736113295,-0.201552761404401,0.0934447745596404,4.7,809.3,24.10825107,200.5,13.9701904569353,-0.1907296569337,0.00362893236877393,"ENF"
