"TIMESTAMP","NEE_VUT_REF","TA_F_MDS","P_ERA","VPD_F_MDS","SW_IN_F_MDS","LE_F_MDS","TA_F_MDS_gw","P_ERA_gw","VPD_F_MDS_gw","SW_IN_F_MDS_gw","LE_F_MDS_gw","TA_F_MDS_ngw","P_ERA_ngw","VPD_F_MDS_ngw","SW_IN_F_MDS_ngw","LE_F_MDS_ngw","site_ID","isubts"
2010,201.83,5.069,582.657,3.573,109.866,21.9577,17.8588285714286,282.524,7.50751428571429,197.672971428571,44.8003112857143,-2.88871555555556,300.136,1.12565333333333,55.2300088888889,7.74457803377778,"RU-Fyo",68
2011,116.65,5.625,561.606,2.624,112.69,30.6486,16.0112357142857,289.19,4.98470714285714,202.300007142857,72.0883035,-0.837804444444445,272.408,1.15551555555556,56.9334577777778,4.86386772886667,"RU-Fyo",68
2012,29.1752,4.341,660.656,2.059,103.713,28.4204,14.9189857142857,290.253,4.21725,194.359221428571,61.483900216555,-2.2120221238938,370.407,0.722473451327434,47.5611814159292,7.93852857073451,"RU-Fyo",68
2013,111.906,5.617,511.016,2.487,112.329,36.8111,16.4915785714286,230.937,4.96460714285714,199.8689,72.97545085,-1.14946666666667,280.076,0.944573333333333,57.8590666666667,14.3089262928889,"RU-Fyo",68
2014,-68.9657,6.074,408.093,3.67,112.968,36.4855,16.3143214285714,209.8,6.72735714285714,203.392307142857,75.8543336914286,-0.297275555555554,198.298,1.76724,56.7036488888889,11.9893693222222,"RU-Fyo",68
2015,-5.95464,6.668,457.839,3.293,112.867,34.1582,15.2611285714286,196.795,6.24581428571429,202.545428571429,69.8052324285714,1.32150222222222,261.05,1.4556,57.0671955555556,11.9777976164444,"RU-Fyo",68
2016,45.3364,5.643,580.349,2.87,106.499,36.8279,16.4961571428571,259.951,5.81541428571429,201.964821428571,79.2301986428571,-1.08079203539823,320.383,1.04553982300885,47.3606194690266,10.5609453004425,"RU-Fyo",68
2017,13.3745,5.038,638.015,2.278,101.844,27.9841,13.7485357142857,309.523,4.52540714285714,187.936342857143,59.9466004285714,-0.381128888888889,328.497,0.879968888888889,48.2750888888889,8.09633379768889,"RU-Fyo",68
2018,-94.998,5.349,436.572,2.473,115.708,30.9925,16.1014642857143,202.953,4.89583571428571,205.311571428571,65.8267899071429,-1.34098222222222,233.624,0.965644444444445,59.9543866666667,9.31774750488889,"RU-Fyo",68
2019,29.718,6.676,556.366,3.119,109.029,32.1427,15.51535,294.444,5.61926428571429,195.285385714286,68.862067,1.17596444444444,261.923,1.56381333333333,55.3589955555555,9.29501584208889,"RU-Fyo",68
2020,-96.2325,7.101,NA,2.337,104.746,28.4981,14.9581928571429,NA,4.24839285714286,184.091,53.1225997714286,2.2338982300885,NA,1.15261946902655,55.5948274336283,13.2439741734956,"RU-Fyo",68
2001,-63.3276051446439,NA,577.134999999994,NA,NA,14.9611008203121,13.6797458726415,261.973,5.66029520440251,197.550076454403,31.4283089231329,-0.996132546768708,315.162,1.7593570945946,86.0441077806122,8.22162568942794,"SE-Deg",69
2002,-83.9744899697155,2.95434126712328,391.543999999995,3.12361090182649,113.082761244293,22.9785914425279,15.7629007468553,181.995,6.60972425314465,220.986126965409,54.7458450728341,-2.28777187902188,209.549,1.69686180823681,68.9215382078507,9.97732161699718,"SE-Deg",69
2003,-85.5658829670342,2.54393624429223,429.058999999994,2.12682859589041,103.870587728309,21.5641714205876,12.392539504717,169.97,4.21069496855346,209.386328616352,47.2686868097327,-1.48676624839125,259.089,1.27397208815959,60.6865393339768,11.044176705339,"SE-Deg",69
2004,-39.6314029422347,0.921593977686696,487.790999999994,1.68080754781423,103.379617543262,14.7689520070334,10.9314347484277,212.439,3.4344536163522,196.101844536163,34.8268205334611,-3.15934110576923,275.352,0.96585953525641,65.5774788461539,6.59151330010521,"SE-Deg",69
2005,-98.9836916368184,3.37720850456622,532.346999999992,2.27328687214613,113.463771575342,15.6128746065144,15.6313889544025,260.873,4.06741588050314,204.230070754717,35.6290369655676,-1.63801592664093,271.474,1.53901013513514,76.3161742277992,7.42093171053121,"SE-Deg",69
2006,-17.8765164659556,3.07202191780822,540.184999999996,2.67584840182648,111.945736586758,21.9782892715193,14.2196928066038,173.995,6.16708549528302,232.411892295598,56.6407795668589,-1.49034531853282,366.19,1.24700233268983,62.6429856016731,7.79209633211382,"SE-Deg",69
2007,-54.098817419517,2.85364571917807,453.777999999996,2.27332585616438,110.287153025116,26.0858061688996,12.5545455974843,163.485,4.70986419025157,210.101868514151,59.0305922715193,-1.11660674066924,290.293,1.27613256113256,69.4363428249678,12.6026118566306,"SE-Deg",69
2008,-58.9564352488958,2.74314959016394,535.347999999992,1.90796539162113,110.628223076046,26.4906328950546,11.6717871462264,212.179,3.84166096698113,232.170851415094,66.0155453086871,-0.896987259615384,323.169,1.11961258012821,61.0762284455128,10.3766301418044,"SE-Deg",69
2009,-42.1008161409259,2.13044246575342,541.049999999993,2.1227707762557,111.33402071918,22.0322791547575,13.2404545990566,267.352,4.5325241745283,207.335660966981,49.956013840638,-2.41651230694981,273.698,1.13653965572716,72.0437741312741,10.6040325265593,"SE-Deg",69
2010,-63.0315772301264,0.44111409817352,486.159999999993,1.86354138127852,111.066520490869,24.0263925909728,12.4735709512579,227.791,3.8268679245283,208.294334512579,56.8048995810967,-4.48336631274131,258.369,1.06001777670528,71.2744421653797,10.6112507340108,"SE-Deg",69
2011,-78.0692326768408,3.34405136986301,493.293999999996,2.14400325342466,110.956089155252,32.9285080006332,13.338111831761,210.74,3.97387047955975,203.835790683962,69.0109292529137,-0.746181869369368,282.554,1.39510006435006,72.9435472168597,18.1611850170745,"SE-Deg",69
2013,-136.38738289019,3.5399352739726,420.869999999995,2.27545616438357,113.20443841324,19.5309024556683,14.4704219732704,155.806,4.60368671383648,211.053381878931,46.3174282104953,-0.933545768983267,265.064,1.32258960746461,73.1581526705277,8.5680772432681,"SE-Deg",70
2014,-46.3798190100072,3.57758573059362,486.144999999993,2.52116792237443,105.621033504569,19.6705313599058,13.7210685927673,171.737,5.29975294811321,209.828361438679,47.6547346620185,-0.573801077863577,314.408,1.38398640604891,62.9724745817246,8.21753695826898,"SE-Deg",70
2015,-43.4824800255938,3.2002941780822,551.932999999993,2.08351192922374,99.4351925799088,14.6979438741813,11.2629663915094,179.121,4.12280326257862,193.490375,38.9758494024862,-0.0994867277992268,372.812,1.24889848777349,60.9415657979408,4.7618126541028,"SE-Deg",70
2016,-14.6083685842489,2.18639816712203,465.907999999995,2.13988006602914,101.079089765479,16.1540006091174,12.2347045990566,190.075,4.38685298742138,193.326898191824,38.6746433922406,-1.91021907051282,275.833,1.22380649038462,63.4703678685898,6.9725077821519,"SE-Deg",70
2017,-36.6030474098204,1.83714971461187,556.444999999994,1.93752631278539,101.598872031966,19.2077289756849,10.9877653301887,191.098,3.87336025943396,191.553916863208,49.334237882213,-1.90788988095238,365.347,1.1452545045045,64.7832938384813,6.87796085177767,"SE-Deg",70
2019,-22.693842710369,1.57859526255707,495.279999999994,2.34173607305936,108.224586073057,16.5576883535822,12.2535597484277,175.413,4.69145322327044,202.78299547956,41.544244988522,-2.79030912162162,319.867,1.38007577220077,69.5250053893179,6.3315300396686,"SE-Deg",70
2020,-30.3589055712096,4.01534505919853,669.102999999992,2.34861731557377,109.21425091075,14.5649935695007,13.3641753144654,225.841,5.08195872641509,206.278569772013,37.9526660908353,0.203898878205128,443.262,1.23425504807692,69.6418747596154,5.03001938772588,"SE-Deg",70
2021,-66.2060681603849,2.12557288812785,599.583999999973,2.26453555936073,107.251503424656,25.0916617768031,13.8857788915094,201.088,5.45872012578616,212.985503341195,70.2023964113404,-2.6874843951094,398.496,0.957263111325611,63.9781289414414,6.62935339355607,"SE-Deg",70
2022,-85.266173498112,3.28565097031959,566.021999999986,2.08185998858449,104.367109531965,23.5072258727895,13.4391599842767,258.34,4.05750039308176,191.006250982704,58.8511944244084,-0.869839205276706,307.682,1.27329673423423,68.9086192084942,9.04212677444337,"SE-Deg",70
2023,-39.7020573430632,2.48413259132423,580.445999999986,2.29847157534244,118.019045719178,25.3694533632202,13.8211018081761,236.236,4.55786065251572,213.113194772013,63.1503550683569,-2.15570809202059,344.21,1.37377952059202,79.1002047940798,9.90699938351167,"SE-Deg",70
2015,-203.701646802435,8.42532711187214,894.651999999977,NA,107.744715639268,23.1708465543122,13.0290608237548,418.792,3.77172369221411,178.994431872605,40.4148251593163,4.23134980366492,475.86,0.613931818181818,42.8365971858639,7.46167232776396,"SE-Htm",71
2016,-242.189040432008,8.23774783697631,755.825999999974,2.24260268670304,111.729884505922,25.7386258820399,14.2565720785441,393.452,3.93993354885057,186.511932950192,42.8831334982148,2.78318836805556,362.374,0.704396592881945,43.9586531032986,10.2014158548813,"SE-Htm",71
2017,-367.653010631683,7.99410587899544,951.763999999977,1.62302568493153,102.188021118724,31.2126920892098,12.8472345545977,529.076,2.80843103448276,169.846155052682,53.4269528065679,3.57293106457243,422.688,0.543127617801047,40.5518153359511,10.9756168807265,"SE-Htm",71
2018,-47.6233453987214,8.9043475456621,594.327999999977,3.20191929223739,123.351765182652,23.7559771258156,15.7629274425287,270.586,5.90216618773946,206.852417504789,41.6184809693187,2.65621716841187,323.742,0.742008507853403,47.2831080933682,7.48332964534686,"SE-Htm",71
2019,-16.8484593387772,8.76263795662101,910.029999999973,2.20132323059362,116.526281449773,27.1628876427112,13.9216038074713,463.884,3.83637823275862,191.834601293103,51.2411878534722,4.06284707678883,446.146,0.711796684118674,47.9207963568936,5.22768221510689,"SE-Htm",71
2020,-206.492595525352,9.15488632741348,832.74199999998,2.13925785519124,127.730526582428,28.3909533157839,13.6999465996169,358.41,3.59877418582375,210.962031728927,50.4106459000958,5.03592545572917,474.332,0.816571180555556,52.3019750434028,8.43560691125119,"SE-Htm",71
