Climateclass,IGBP,MAP,MAT,canopyH_Lang,sd_Lang,site_ID,source,timestamp,.geo
Dfb,GRA,1214,5.1,13.78326926,7.150200012,IT-MBo,EuropFlux_FLUXNET2023,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[11.045830960836085,46.02367551194603],[11.038142409094695,46.02192047533782],[11.033453417870676,46.01734009222426],[11.03359227512883,46.01172112969379],[11.038503553964583,46.007254967953905],[11.046271520720094,46.005682983601204],[11.05386774203069,46.007618013124855],[11.058330662646076,46.01230568078776],[11.057919245142399,46.01791820297503],[11.05279267555247,46.02226665113969],[11.045830960836085,46.02367551194603]]]}"
Dfb,ENF,707,7.4,22.15922165,8.362316557,SE-Htm,EuropFlux_FLUXNET2023,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[13.418969000581033,56.10663048680629],[13.409395672995743,56.10487533774376],[13.403557776847045,56.10029477565053],[13.40373134280122,56.094675819634894],[13.409846404523329,56.09020984068791],[13.419517489305285,56.08863795809228],[13.428974793845533,56.09057286512743],[13.434531705696072,56.0952603584449],[13.43402013829261,56.10087289986228],[13.427637337589815,56.10522153380213],[13.418969000581033,56.10663048680629]]]}"
Dfb,ENF,527,5.5,19.19398037,8.157567863,SE-Nor,EuropFlux_FLUXNET2023,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[17.47950222456676,60.09549703866102],[17.468794264887052,60.093741827369485],[17.46226480523505,60.08916116624301],[17.462459356349417,60.08354221384316],[17.46929907030897,60.07907633603904],[17.48011567677409,60.07750450974276],[17.49069320717604,60.07943934900812],[17.496908692988455,60.08412674585522],[17.49633693097503,60.08973929790218],[17.489197948721234,60.09408803463699],[17.47950222456676,60.09549703866102]]]}"
Dfb,GRA,1651,7.2,16.22176883,6.951401004,CH-Fru,EuropFlux_FLUXNET2020,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[8.537778359618075,47.124832680690275],[8.529932095120383,47.12307763396499],[8.525146961217827,47.11849723474847],[8.52528871615538,47.11287827280309],[8.530300725866626,47.10841212750929],[8.53822795138252,47.10684015231224],[8.545979913434731,47.10877517081493],[8.550534376684828,47.11346282279196],[8.550114571912513,47.11907534671041],[8.544882879465765,47.12342381158928],[8.537778359618075,47.124832680690275]]]}"
Dfb,ENF,681,7.1,17.59647961,7.571820633,CZ-RAJ,EuropFlux_FLUXNET2020,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[16.696510834187983,49.45272422204591],[16.688298539811846,49.45096915248065],[16.683290275456987,49.44638871691126],[16.683438759886098,49.44076975628751],[16.688684551154758,49.43630364812115],[16.696981387260816,49.43473169359288],[16.70509479549688,49.43666668721589],[16.709861716424204,49.4413543037815],[16.709422450548477,49.44696683160741],[16.703946785496917,49.45131533421915],[16.696510834187983,49.45272422204591]]]}"
Dfb,DBF,685,8.7,23.99904639,9.673699515,CZ-Stn,EuropFlux_FLUXNET2020,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[17.969900781121577,49.04497510351672],[17.961756028002405,49.04322003810537],[17.95678893615114,49.038639609147396],[17.95693617835361,49.03302064828322],[17.962138831461324,49.02855453336455],[17.970367466382086,49.02698257507732],[17.97841417991338,49.028917573225115],[17.983141897360568,49.03360519623095],[17.98270622202303,49.03921772334629],[17.977275575391257,49.04356621909562],[17.969900781121577,49.04497510351672]]]}"
Dfb,WET,604,7.7,12.73842638,6.714037861,CZ-wet,EuropFlux_FLUXNET2020,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[14.7703486249394,49.03364898684096],[14.762205726200627,49.03189392154402],[14.757239764764469,49.027313492768144],[14.757386972864051,49.021694531897346],[14.762588441590285,49.0172284167927],[14.770815204006777,49.01565645840193],[14.778860086395317,49.01759145667437],[14.783586727490288,49.02227907985757],[14.783151150736096,49.02789160695334],[14.777721740110806,49.03224010251366],[14.7703486249394,49.03364898684096]]]}"
Dfb,GRA,877,8.4,22.34553542,8.30707907,DE-Gri,EuropFlux_FLUXNET2020,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[13.512592286299181,50.9590397716073],[13.504116649045255,50.9572846860749],[13.498947855162182,50.95270422509213],[13.49910118514754,50.94708526539294],[13.50451517125416,50.94261918318139],[13.5130779197217,50.94104724310185],[13.521451366774834,50.94298221933244],[13.526371141625818,50.94766981114276],[13.525917878505528,50.95328234169965],[13.520266688541959,50.957630870689584],[13.512592286299181,50.9590397716073]]]}"
Dfb,DBF,720,8.3,27.48069324,6.840492543,DE-Hai,EuropFlux_FLUXNET2020,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[10.452088278266602,51.08840721136987],[10.443588957149144,51.086652124418066],[10.438405726108895,51.082071661176194],[10.438559492049906,51.07645270155922],[10.443988604794042,51.0719866216549],[10.452575267929676,51.070414682859756],[10.460972101427805,51.07234965754428],[10.465905623254045,51.077037247153996],[10.465451101462493,51.08264977795363],[10.459784125710383,51.086998309288425],[10.452088278266602,51.08840721136987]]]}"
Dfb,DBF,901,7.8,24.57871645,8.668608659,DE-Hzd,EuropFlux_FLUXNET2020,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[13.489779525309753,50.97280947566035],[13.481301375508497,50.97105438997724],[13.476131050031265,50.96647392875461],[13.476284426264469,50.96085496906415],[13.481700017109299,50.95638888709757],[13.490265302611748,50.9548169471544],[13.49864123066211,50.956751923220835],[13.503562463886995,50.96143951479752],[13.503109067236785,50.967052045380164],[13.497456202607077,50.97140057461906],[13.489779525309753,50.97280947566035]]]}"
