"site_ID","year_start","year_end","NEE","NEEtrend_lm","NEEp","GPP","GPPtrend_lm","GPPp","ER","ERtrend_lm","ERp","NEEtrend_unit","source","Lat","TA_t","TA_p","TA_gs_t","TA_gs_p","TA_ngs_t","TA_ngs_p","P_t","P_p","P_gs_t","P_gs_p","P_ngs_t","P_ngs_p","VPD_t","VPD_p","VPD_gs_t","VPD_gs_p","VPD_ngs_t","VPD_ngs_p","SW_t","SW_p","SW_gs_t","SW_gs_p","SW_ngs_t","SW_ngs_p","LE_t","LE_p","LE_gs_t","LE_gs_p","LE_ngs_t","LE_ngs_p","CO2_t","CO2_p","Lgs_t","Lgs_p","Lgs_piece_t","Lgs_piece_p","MAT","MAP","Height","Age","Nmean","Ntrend_lm","Np","IGBP"
"CZ-BK1",2004,2023,-783.994516073999,-0.0338589719014929,0.483755786496452,1901.06855621937,8.8257022630571,0.483755786496452,1019.56200302126,35.6116247330863,0.00113705151478085,-7.26338280345142,"EuropFlux_FLUXNET2023",49.50207615,-0.0733353866504768,0.127476932741378,-0.0357157214209909,0.433826840365301,-0.07289946702245,0.26605176012296,-0.0387447440158986,0.620425293710382,-0.0231127524123885,0.685328555783378,-0.039968591581092,0.558350909375985,0.00747017944270174,0.901649504895373,0.0169713670812327,0.836819705051275,0.00165033148119398,1,-0.000534185621016716,1,0.0368231694057339,0.536648236300515,-0.0414410710790024,0.387013990315225,0.190482703971236,2.16742400071442e-06,0.194193219583421,2.16742400071442e-06,0.169996395044587,0.000127667929526784,0.773414885034511,0.105138038735402,-0.0531945442713025,0.276278415808018,-0.106260195263061,0.0924595951108613,6.7,1316,28.76771916,38.5,14.2904923983983,-0.219654594095276,0.000192514462838594,"ENF"
"CZ-Lnz",2015,2023,-522.528722847765,-0.00589019518648906,1,1874.97809544615,56.2727036579633,0.0715054164448745,1333.07571484491,56.4293849940017,0.0715054164448745,-0.456170566032171,"EuropFlux_FLUXNET2023",48.6815483,0.0525157056151804,0.548005572361309,-0.218670346144668,0.76389059347054,0.330591437490617,0.367520738242143,0.407935016531924,0.25965635637045,0.461619279327812,0.132854955731054,0.0699948112957901,1,0.0278484664653887,1,-0.165984561988702,0.548005572361309,0.235912265819259,0.367520738242143,0.297835520017132,0.76389059347054,-0.121973555548206,0.22955621387892,0.321073923976262,0.367520738242143,0.248057812604135,0.367520738242143,0.153834970005963,0.548005572361309,0.367736799394747,0.0354981313206625,1.37214255570773,0.13906681763851,0.228672977980371,0.707114231289961,0.228672977980371,0.707114231289961,9.3,550,24.27074825,119,14.2558841705322,0.0122267850904704,0.87723887450849,"MF"
"CZ-RAJ",2012,2020,-514.809555555556,-0.0150056358804181,1,1586.27111111111,-12.5695,0.754454177494089,1142.18477777778,-16.37,0.465512169874187,-1.69683333333333,"EuropFlux_FLUXNET2020",49.4437236,0.219023174129275,0.0476039547278715,0.219151781011683,0.175308080808274,0.16398061725773,0.251452186508022,-0.0505100953201835,0.901538626657128,0.0497904218624234,0.71052302291649,-0.0930872666760741,0.71052302291649,0.266161890482239,0.0360316862182336,0.256470030749835,0.0763327403763572,0.274083166646854,0.0164886567276701,0.247188701789045,0.175308080808274,0.233148507910135,0.0763327403763572,0.147580429938005,0.251452186508022,0.218484395467316,0.175308080808274,0.135688667332282,0.465512169874187,0.29954090323665,0.028567681801513,NA,NA,-0.12812659237668,0.348082623632924,-0.148583118010246,0.348082623632924,7.1,681,17.59647961,111,17.0519319261823,-0.10169842319347,0.180343589494993,"ENF"
"CZ-Stn",2010,2020,-244.754763636364,-0.198425306954366,0.0617066900283127,1552.39,-3.32428571428574,0.876269663627762,1383.50454545455,-14.42,0.533416513472694,-17.67475,"EuropFlux_FLUXNET2020",49.035975,0.158937938233611,0.0429601460284251,0.124486733119983,0.350201389179296,0.172328006839396,0.0617066900283127,0.039033977743608,1,0.00699470049736296,1,0.0557990844008864,0.720514787136255,0.0493378079526396,0.533416513472694,0.0762629228510964,0.436274928840529,0.0456059015818135,0.640428787412791,0.198280433634616,0.275757847827509,0.150302392335697,0.212911902811505,0.0710404430084751,0.436274928840529,0.236686633003149,0.00184572131769627,0.224122637972681,0.0010766328645878,0.197278753886928,0.0195174811821778,2.57240990990992,0.0229418970987787,-0.0140173504502515,1,-0.0122056879270237,1,8.7,685,23.99904639,112,15.9829624039786,-0.00634823814522975,0.936103110109652,"DBF"
"CZ-wet",2006,2020,24.708546,0.172897073974707,0.00558361680637876,1122.32933333333,-6.3475,0.373053116251453,1105.761,14.5541666666667,0.16585666034291,25.9522181818182,"EuropFlux_FLUXNET2020",49.02465,0.13030088224746,0.0487449207397066,0.143759151298237,0.0477612426751037,0.0609083660200417,0.373053116251453,-0.0841035606500566,0.273561411724749,-0.0556674910427583,0.324423690521579,-0.0413964004674353,0.584070366945506,0.136936148704554,0.0424987344888142,0.128150825326838,0.0600382909095791,0.139660660405747,0.0133475759268432,0.104408309146819,0.324423690521579,0.0848359998431463,0.137645845518265,-0.0159947249728772,1,-0.133229673179949,0.0376669222286287,-0.15066563628455,0.0294481042142742,-0.113450984654361,0.0228215036714881,NA,NA,-0.00111442387694588,0.956276201983786,0.027368356147446,0.78398045378238,7.7,604,12.73842638,NA,15.6737092563084,-0.0771690283916829,0.318418964820346,"WET"
"DE-Akm",2010,2020,-34.54536,0.16496025252155,0.152406283956749,1648.115,-29.5650000000001,1,1642.9446,33.05,0.210497700055337,29.708625,"EuropFlux_FLUXNET2020",53.86617,0.220892040142933,0.012266061386213,0.0668547321671628,0.474274350767329,0.229872870876141,0.0318231273864902,-0.291785268345111,0.0763327403763572,-0.2677485054416,0.117850895021365,-0.0819469708244258,0.916965236628864,0.158608214729201,0.012266061386213,0.2265285788097,0.0736382701203027,0.113773455863787,0.00235752759579549,0.20478658560009,0.012266061386213,0.257311307345545,0.0200446686226275,0.109035716472927,0.210497700055337,0.299440847037435,0.00729035809153564,0.272894163756983,0.0200446686226275,0.239440813820799,0.012266061386213,3.10431666666666,0.0552295818433219,-0.0337117911599801,0.916965236628864,-0.0337117911599801,0.916965236628864,8.7,558,7.457784849,NA,16.0700723103115,-0.165406562885558,0.0174870567974573,"WET"
"DE-Gri",2005,2020,-84.70769375,0.0317983413796352,0.620425293710382,1427.630125,25.7992222222222,0.0957466564738153,1284.652625,25.30875,0.0427634258331939,1.16899,"EuropFlux_FLUXNET2020",50.95004,0.0904729232781856,0.115074647821179,0.00357951998819042,1,0.0875616834399782,0.137347096984784,-0.0788439103981174,0.113287208222353,-0.0732247341744365,0.373053116251453,-0.0616479490236116,0.322299595871919,0.0657460636846061,0.300427116749241,0.0648178911196723,0.444043639662887,0.0416109653768615,0.499461203104015,0.148697379822207,0.013277487626937,0.126817973408536,0.00789966213049371,0.116054286350733,0.0216673999284264,0.124195245690085,0.0649033586094432,0.071712769735396,0.344417522979072,0.157166044961269,0.00456226115322261,2.92405441176471,9.32496539042039e-09,0.106174187396146,0.086787578654484,-0.0285238050848879,0.620425293710382,8.4,877,22.34553542,NA,21.7583000319345,-0.0310479221787269,0.693962193772876,"GRA"
"DE-Hai",2000,2020,-519.001761904762,0.106141258881363,0.00719834839155333,1543.26285714286,-12.701,0.0654733584595351,1166.35904761905,-3.91659027777778,0.349219342794742,9.99911666666667,"EuropFlux_FLUXNET2020",51.0794084,0.0852256880067385,0.017053286657374,0.0874125004609209,0.0102660035819151,0.0481150545228758,0.123549865896804,-0.0478364187547428,0.215688695591323,-0.0140016588047895,0.785797106178966,-0.0331873729192919,0.174190482700077,0.101284290758806,0.00339943459158102,0.101804836598425,0.00498016799310635,0.0660468859339494,0.0748114813174168,0.0853295530534063,0.0216751305573882,0.0879148088521446,0.017053286657374,0.0774321470042394,0.138966893956733,-0.11550941632232,0.00412152626514253,-0.119742740958724,0.00186908189838691,-0.0816992650460569,0.0852100829937604,2.93312330827068,3.54331876907275e-09,-0.0354870873725071,0.414465039572887,-0.0353947441270326,0.380752649699372,8.3,720,27.48069324,258,17.6155331475394,-0.082617641634852,0.283705282128378,"DBF"
"DE-HoH",2015,2023,-252.231383331728,0.294423367111024,0.0476039547278715,1647.55127318623,81.8494898025905,0.00487856447503363,1386.07354346342,96.6985385395472,0.0476039547278715,25.7290378740995,"EuropFlux_FLUXNET2023",52.08656,0.1026356467047,0.602167527748196,0.187455198786138,0.251452186508022,0.132894744713364,0.465512169874187,0.11259600833959,0.536186771900174,-0.0643553033671036,0.386476230771233,0.0810919340640904,0.386476230771233,0.0153910637490275,0.916965236628864,0.0144275739085718,0.916965236628864,0.0641450750536505,0.754454177494089,-0.08577742344537,0.754454177494089,0.00275832493535726,0.916965236628864,0.00225150828708169,1,-0.267202065365499,0.265510388953874,-0.266313830452411,0.0354478925524608,0.0723607202404819,0.901538626657128,3.06530702093771,0.467106403731695,0.139911976681488,0.465512169874187,0.139911976681488,0.465512169874187,9.1,563,27.01101563,89,16.2271309580122,-0.0725984936712896,0.34928378583314,"DBF"
"DE-Obe",2008,2020,-233.261630769231,0.0992957136370032,0.299665448434302,1662.23153846154,-14.2619642857143,0.360121647755378,1466.12615384615,4.16798611111111,0.760332307521876,13.3016071428571,"EuropFlux_FLUXNET2020",50.78666,0.142988236964139,0.044083783741321,0.098767589478687,0.0327356095883208,0.12241588330447,0.160555891435809,-0.156264688418869,0.0864711277740726,-0.111342455032684,0.537133857176902,-0.117766071588085,0.149860747513049,0.148053156058495,0.0995087321591697,0.157065901856399,0.0768508722678888,0.14733314640815,0.200128117678602,0.155520716456987,0.0327356095883208,0.180446458703991,0.044083783741321,0.0975726570546261,0.299665448434302,-0.180920468714201,0.00279493456988729,-0.19414460809374,0.00413836399508691,-0.114966362242346,0.00870615545243421,2.23951748251747,3.98351872432952e-06,-0.112244270929626,0.45067028531418,-0.100426443913733,0.45067028531418,5.5,996,28.36118491,79,20.9578063147409,-0.0194904886379951,0.805329310296669,"ENF"
"DE-RuR",2011,2020,-130.60754,0.129538674625219,0.474274350767329,1740.601,36.4175,0.210497700055337,1642.957,34.1166666666667,0.152406283956749,10.8159,"EuropFlux_FLUXNET2020",50.6219142,0.272107964411986,0.028567681801513,0.155955832210201,0.152406283956749,0.0325899335658288,1,-0.00519505356160561,0.858027656987521,-0.176804638835715,0.152406283956749,0.204022572153292,0.210497700055337,0.33036090761727,0.00487856447503363,0.267364079995393,0.0318231273864902,0.131614672551303,0.210497700055337,0.3053549174817,0.00914914757959376,0.248886294810358,0.0490979816092656,0.162784866655617,0.371093369522698,0.246710792920597,0.0763327403763572,0.195210170828785,0.175308080808274,0.140860212221609,0.465512169874187,2.28430000000001,0.000546278568755619,-0.226459429475462,0.0476039547278715,-0.220747760355989,0.175308080808274,7.7,1033,11.72093924,NA,24.9858254023961,-0.20612503942543,0.000955287610657928,"GRA"
"DE-RuW",2012,2020,-629.98225,0.35370834033083,0.00937476845943489,1865.51625,5.58416666666663,0.901538626657128,1648.8425,-27.175,0.386476230771233,67.6205714285714,"EuropFlux_FLUXNET2020",50.50492685,0.178044838117809,0.548005572361309,0.263126227140818,0.0354478925524608,0.0676606685563145,0.386476230771233,-0.222783562866768,0.265510388953874,-0.267117200194423,0.0634865305607675,0.21079707861467,0.71052302291649,0.207986407650112,0.13312848419606,0.253031097786249,0.0354478925524608,-0.0227575958405811,0.901538626657128,0.040665471483767,1,0.366730892526739,0.0187411367895967,0.0793804002666446,0.71052302291649,-0.449876296062671,0.00686379498544904,-0.384516292726261,0.22955621387892,-0.0430136224899706,1,2.26281104033973,0.000328663719252423,-0.0831941068938461,0.548005572361309,-0.0864466157085957,0.367520738242143,7.5,1250,28.46247901,66,21.8505282402039,-0.218514107883506,0.000225347205856826,"ENF"
"DE-Tha",1997,2008,-428.387403083172,0.121403193628268,0.192616274329602,1381.5824866003,-23.2370709409724,0.149860747513049,1017.44165930872,-14.58481598775,0.243722284772174,11.345788194987,"EuropFlux_FLUXNET2023",50.96256,0.103349546408541,0.0864711277740726,0.110796958582044,0.243722284772174,0.0259064118394423,0.837011475105446,0.0439507058794778,0.837011475105446,0.0231990459581937,0.837011475105446,0.0241232952546614,0.73170172322421,0.000701293095721564,1,0.0315839235513073,0.45067028531418,-0.154502976658662,0.114756734318649,0.16085124877388,0.114756734318649,0.102574329506291,0.243722284772174,0.145255112858365,0.0864711277740726,-0.12639578100692,0.303673214899419,-0.151919231600511,0.149860747513049,-0.0842214147926336,0.537133857176902,1.20030628244957,0.00100284977789695,-0.0111147678191209,1,0.108298585595435,0.640428787412791,8.2,843,29.19259893,115.5,20.0440143176488,-0.0310479221787269,0.693962193772876,"ENF"
"DE-Tha",2010,2023,-490.672746031904,-0.0238350192671597,0.742556821926578,1502.12136947705,8.03040529541416,0.324423690521579,1074.41118759431,7.09772635171867,0.381074481609294,-1.909294472159,"EuropFlux_FLUXNET2023",50.96256,0.141843213048865,0.011793457077065,0.106757392905546,0.0374974908157198,0.142585449125174,0.0487449207397066,-0.110058270054216,0.0768508722678888,-0.16716995872248,0.0123715812045243,0.0289345626983609,0.854777098065548,0.0852727585191148,0.443421402864083,0.0583481406651041,0.584070366945506,0.0849148429156306,0.0626981162609826,0.0890830478972678,0.154629751965815,0.106800018948815,0.0626981162609826,0.0306695134374324,0.742556821926578,-0.047797854925189,0.502158251500749,-0.0520341194142706,0.502158251500749,-0.0697748272158487,0.582950557761892,1.93522882776893,2.6337949091621e-07,-0.0538830314969007,0.582950557761892,-0.0714893981423194,0.360121647755378,8.2,843,29.19259893,129.5,20.0440143176488,-0.0310479221787269,0.693962193772876,"ENF"
"DK-Sor",1997,2013,-166.934546643924,-0.178298944223533,2.20708150533667e-05,1763.35240793579,21.9802875145225,0.00151480435398805,1671.07386235714,2.95927871220056,0.59230128143299,-24.5403137494912,"EuropFlux_FLUXNET2023",55.4858694,0.0224109096852671,0.650463122950713,0.0227175895174355,0.836819705051275,0.0236296744164875,0.59230128143299,-0.0223059737166161,0.836819705051275,0.0266364722619382,0.536648236300515,-0.0755720264806915,0.174033580208164,0.0812301143301561,0.108161354779969,0.0374699777801358,0.536648236300515,0.111024386146707,0.0290204024405664,0.133019652342048,0.00945536216161589,0.0752203386989729,0.26605176012296,0.148965933026456,0.0119794094391137,-0.0221033458865781,0.773080066312313,0.01399670488219,0.710835924814926,-0.127047141040567,0.0119794094391137,3.72999654981042,0.000213594592664939,0.008175159534571,0.967142330906372,0.008175159534571,0.967142330906372,8.2,660,13.53600377,86,14.048777444022,-0.213109189874241,0.00044661020867184,"DBF"
"DK-Sor",2015,2023,-321.139207925862,0.0945797439450557,0.71052302291649,2033.05641214454,-19.1969775940805,0.536186771900174,1860.88069817544,-31.1077624460392,0.386476230771233,7.00462643578196,"EuropFlux_FLUXNET2023",55.4858694,0.337707979770505,0.0634865305607675,0.228250813125576,0.536186771900174,0.249808883643003,0.173546221787853,-0.21127460853501,0.386476230771233,-0.156890576745257,0.386476230771233,-0.16863034754222,0.265510388953874,0.266365596608872,0.107762290391921,0.196109069785599,0.107762290391921,0.407537175308173,0.00937476845943489,0.12516715400502,0.386476230771233,0.0777144955786193,0.536186771900174,0.172026639215484,0.0634865305607675,0.0523161967721749,0.901538626657128,0.152311384010968,0.386476230771233,-0.0508429894756105,0.901538626657128,3.80666860891901,0.107427228744352,-0.0791276227131014,0.536186771900174,-0.0791276227131014,0.536186771900174,8.2,660,13.53600377,100,14.048777444022,-0.213109189874241,0.00044661020867184,"DBF"
"ES-Agu",2006,2020,16.6777642857143,-0.055374742339168,0.381074481609294,391.657242857143,21.285,0.011793457077065,489.9325,29.2635555555556,0.011793457077065,-7.214,"EuropFlux_FLUXNET2020",36.940046,0.0237629615869593,0.854777098065548,-0.00530557644329038,0.826665969670155,-0.00240747498062498,0.912814027184075,-0.103231655634757,0.154629751965815,0.0204858494811143,0.912814027184075,-0.132623296616396,0.0626981162609826,-0.0227757413604829,0.854777098065548,-0.122717307742524,0.188887477539538,-0.060147925922973,0.443421402864083,-0.197543859755839,0.00870615545243421,-0.190932393064519,8.0929046398655e-05,-0.13807759315447,0.0214887391196774,0.0058070414746802,1,0.0898520950604229,0.210497700055337,-0.132628609540071,0.107404636330254,1.51978571428573,0.118994846496618,0.0925151676216417,0.360121647755378,0.078186391167399,0.427710510297464,17.2920727016719,274.378142857143,0.00137209046,NA,13.5729200839996,-0.215853172074984,0.000319403199140829,"OSH"
"ES-LJu",2005,2020,-3.41902375,-0.089420671924663,0.137347096984784,260.9754375,5.3938,0.0170237960322115,312.7773125,4.65586363636363,0.300427116749241,-3.39520636363636,"EuropFlux_FLUXNET2020",36.926594,0.125673966301377,0.0427634258331939,-0.0244811205972751,0.392314347285355,0.151407298504103,0.00789966213049371,-0.0473915540755164,0.300427116749241,0.0268135558975047,0.892558465851561,-0.0451945150274838,0.300427116749241,0.110991221753469,0.0427634258331939,-0.0292526157293655,0.821891691251159,0.170017465632669,0.000375429967627533,-0.140727378202485,0.0273767657896617,-0.147846548628958,0.00101389016957488,-0.0669254049677534,0.115074647821179,-0.158517958336851,0.0477612426751037,-0.134562636583145,0.0376669222286287,-0.0753701043581463,0.373053116251453,3.13648823529412,1.40676102538446e-06,-0.02170150210669,0.821891691251159,-0.0452304311720646,0.528069920606874,16,400,0.7187184691,NA,12.8508212566376,-0.159504831334994,0.0234506824995364,"OSH"
